TRANSACTION DATE,DESCRIPTION,TYPE,AMOUNT,expected_class,notes,predicted_class
12/31/2025,44800 Abdd Llc Payroll,Deposit,$455.96,essential,Income,flex
12/30/2025,Rensselaer Polytechnic,Purchase,-$0.67,essential,Education/Admin fee,flex
12/30/2025,Check Deposit,Deposit,$25.00,essential,Income,flex
12/29/2025,Direct Debit: Discover,Direct Debit,-$40.00,essential,Debt Repayment,flex
12/27/2025,INTERNET PAYMENT - THANK YOU,Payments and Credits,$40.00,essential,Credit Card Payment/Refund,flex
12/23/2025,KINDLE UNLTD 888-802-3080 WA6TAL2QYU0TG,Payments and Credits,$11.99,essential,Credit Card Payment/Refund,flex
12/23/2025,44800 Abdd Llc Payroll,Deposit,$169.34,essential,Income,flex
12/21/2025,AMAZON PRIME PMTS AMZN.COM/BILLWAWQCRZOMBGFP,Payments and Credits,$8.09,essential,Credit Card Payment/Refund,flex
12/14/2025,Sams Stores,Purchase,-$23.72,essential,Gas/Convenience,flex
12/03/2025,44800 Abdd Llc Payroll,Deposit,$448.63,essential,Income,flex
12/02/2025,Rensselaer Polytechnic,Purchase,-$0.31,essential,Education/Admin fee,flex
11/27/2025,Bp,Purchase,-$21.51,essential,Gas,flex
11/26/2025,Direct Debit: Discover,Direct Debit,-$200.00,essential,Debt Repayment,flex
11/25/2025,44800 Abdd Llc Payroll,Deposit,$83.85,essential,Income,flex
11/24/2025,Venmo Riggins Josiah,Transfer,$203.06,essential,Incoming Transfer (Income),flex
11/24/2025,INTERNET PAYMENT - THANK YOU,Payments and Credits,$200.00,essential,Credit Card Payment/Refund,flex
11/19/2025,WALMART STORE 02104 NEWBURGH NY,Merchandise,-$18.94,essential,Groceries/Household,flex
11/10/2025,CUMBERLAND FARMS 1703 TROY NY809761,Gasoline,-$2.37,essential,Gas/Convenience,flex
11/07/2025,INTERNET PAYMENT - THANK YOU,Payments and Credits,$300.00,essential,Credit Card Payment/Refund,flex
11/03/2025,WALMART STORE 02370 TROY NY,Merchandise,-$2.28,essential,Groceries/Household,flex
10/30/2025,Shpe National Conve,Purchase,-$12.15,essential,Education/Career Conference,flex
10/29/2025,Rensselaer Polyt Payroll,Deposit,$63.43,essential,Income,flex
10/27/2025,INTERNET PAYMENT - THANK YOU,Payments and Credits,$100.00,essential,Credit Card Payment/Refund,flex
10/22/2025,Stewarts Shop,Purchase,-$6.07,essential,Groceries/Convenience,flex
10/22/2025,Stewarts Shop,Purchase,-$10.66,essential,Groceries/Convenience (Often milk/essentials),flex
10/16/2025,Mta Nyct Paygo,Purchase,-$2.90,essential,Public Transit,flex
10/16/2025,Mta Nyct Paygo,Purchase,-$2.90,essential,Public Transit,flex
10/16/2025,Mta Nyct Paygo,Purchase,-$2.90,essential,Public Transit,flex
10/16/2025,Mta Nyct Paygo,Purchase,-$2.90,essential,Public Transit,flex
10/16/2025,Mta Nyct Paygo,Purchase,-$2.90,essential,Public Transit,flex
10/16/2025,Cumberland Farms,Purchase,-$10.17,essential,Gas/Convenience,flex
10/15/2025,Rensselaer Polyt Payroll,Deposit,$31.72,essential,Income,flex
10/15/2025,Rensselaer Polyt Invoice,Deposit,$620.00,essential,Income,flex
10/02/2025,INTERNET PAYMENT - THANK YOU,Payments and Credits,$100.00,essential,Credit Card Payment/Refund,flex
9/25/2025,Hrblock Retail,Purchase,-$400.00,essential,Tax Preparation Service,flex
9/19/2025,Check Deposit,Deposit,$282.02,essential,Income,flex
9/19/2025,Check Deposit,Deposit,$360.57,essential,Income,flex
09/13/2025,INTERNET PAYMENT - THANK YOU,Payments and Credits,$100.00,essential,Credit Card Payment/Refund,flex
09/03/2025,REPRESENTED INTERNET PAYMENT - THANK YOU,Payments and Credits,$50.00,essential,Credit Card Payment/Refund,flex
09/03/2025,ADJUSTMENT - INTEREST CHARGE,Payments and Credits,$0.22,essential,Credit Card Payment/Refund,flex
8/29/2025,Check Deposit,Deposit,$86.32,essential,Income,flex
08/28/2025,INTERNET PAYMENT - THANK YOU,Payments and Credits,$50.00,essential,Credit Card Payment/Refund,flex
8/28/2025,Walmart,Purchase,-$84.14,essential,Groceries/Household,flex
8/27/2025,44800 Abdd Llc Dir Dep,Deposit,$187.33,essential,Income,flex
07/31/2025,WALMART STORE 02370 TROY NY,Merchandise,-$38.08,essential,Groceries/Household,flex
07/27/2025,INTERNET PAYMENT - THANK YOU,Payments and Credits,$100.00,essential,Credit Card Payment/Refund,flex
7/16/2025,44800 Abdd Llc Dir Dep,Deposit,$72.66,essential,Income,flex
7/10/2025,Rensselaer Polytechnic,Purchase,-$11.80,essential,Education/Admin,flex
7/10/2025,Rensselaer Polytechnic,Purchase,-$400.00,essential,Education/Tuition or Fees,flex
7/09/2025,44800 Abdd Llc Dir Dep,Deposit,$382.88,essential,Income,flex
7/09/2025,Referral Cash Bonus,Transfer,$100.00,essential,Income (Bonus),flex
07/04/2025,CUMBERLAND FARMS 1587 SALISBURY MILNY621604,Gasoline,-$13.55,essential,Gas/Convenience,flex
7/01/2025,44800 Abdd Llc Dir Dep,Deposit,$90.23,essential,Income,flex
06/27/2025,INTERNET PAYMENT - THANK YOU,Payments and Credits,$350.00,essential,Credit Card Payment/Refund,flex
5/28/2025,Direct Debit: Discover,Direct Debit,-$100.00,essential,Debt Repayment,flex
05/27/2025,INTERNET PAYMENT - THANK YOU,Payments and Credits,$100.00,essential,Credit Card Payment/Refund,flex
5/25/2025,Walmart,Purchase,-$67.39,essential,Groceries/Household,flex
5/21/2025,44800 Abdd Llc,Deposit,$335.36,essential,Income,flex
5/21/2025,Family Dollar,Purchase,-$31.67,essential,Household items,flex
5/14/2025,44800 Abdd Llc,Deposit,$504.04,essential,Income,flex
5/11/2025,Walmart,Purchase,-$19.80,essential,Groceries/Household,flex
5/10/2025,Citgo Vails Ga,Purchase,-$12.43,essential,Gas,flex
5/10/2025,Yazzys Market,Purchase,-$10.83,essential,Groceries/Market,flex
5/07/2025,44800 Abdd Llc,Deposit,$84.41,essential,Income,flex
04/26/2025,REMSEN STREET MARKET COHOES NY,Supermarkets,-$5.09,essential,Groceries/Household,flex
4/15/2025,Cumberland,Purchase,-$9.34,essential,Gas/Convenience (Assume Gas due to vendor type),flex
4/06/2025,Troy Five Star Food Mart,Purchase,-$11.00,essential,Gas/Convenience,flex
4/06/2025,Troy Five Star Food Mart,Purchase,-$16.80,essential,Gas/Convenience,flex
03/27/2025,INTERNET PAYMENT - THANK YOU,Payments and Credits,$200.00,essential,Credit Card Payment/Refund,flex
3/25/2025,Five Star Food Mart,Purchase,-$19.10,essential,Gas/Convenience,flex
03/24/2025,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$19.80,essential,Gas/Convenience,flex
3/23/2025,Troy Five Star Food Mar,Purchase,-$17.79,essential,Gas/Convenience,flex
3/23/2025,Troy Five Star Food Mar,Purchase,-$8.00,essential,Gas/Convenience,flex
03/22/2025,FIVE STAR FOOD MART TROY NY,Gasoline,-$28.00,essential,Gas/Convenience,flex
